0,1,2,3,4,5,6,7,8,9,10
rolls/buns,bottled beer,,,,,,,,,
pip fruit,tropical fruit,rolls/buns,pip fruit,rolls/buns,,,,,,
sweet spreads,berries,butter milk,pip fruit,soda,other vegetables,fruit/vegetable juice,whole milk,,,
root vegetables,ham,,,,,,,,,
sausage,other vegetables,,,,,,,,,
shopping bags,butter milk,,,,,,,,,
semi-finished bread,bottled water,,,,,,,,,
pork,flour,,,,,,,,,
syrup,newspapers,processed cheese,rolls/buns,,,,,,,
liquor,newspapers,,,,,,,,,
canned beer,whole milk,other vegetables,,,,,,,,
citrus fruit,pastry,dish cleaner,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
other vegetables,coffee,,,,,,,,,
tidbits,dessert,cat food,,,,,,,,
chicken,specialty chocolate,,,,,,,,,
soda,soda,,,,,,,,,
whole milk,chocolate,,,,,,,,,
frozen vegetables,bottled beer,soda,rolls/buns,,,,,,,
whole milk,sausage,spread cheese,hygiene articles,,,,,,,
white bread,brown bread,,,,,,,,,
pastry,pasta,,,,,,,,,
newspapers,soups,,,,,,,,,
tropical fruit,berries,,,,,,,,,
chocolate,shopping bags,,,,,,,,,
whole milk,cleaner,,,,,,,,,
other vegetables,grapes,,,,,,,,,
other vegetables,white bread,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
chicken,bottled water,,,,,,,,,
frankfurter,rolls/buns,coffee,white wine,,,,,,,
sausage,shopping bags,,,,,,,,,
whole milk,waffles,,,,,,,,,
onions,soda,,,,,,,,,
pip fruit,onions,,,,,,,,,
whole milk,butter,,,,,,,,,
sausage,yogurt,,,,,,,,,
hygiene articles,shopping bags,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
tropical fruit,specialty cheese,,,,,,,,,
liver loaf,waffles,,,,,,,,,
citrus fruit,root vegetables,whole milk,chewing gum,coffee,shopping bags,,,,,
frankfurter,red/blush wine,,,,,,,,,
pickled vegetables,UHT-milk,long life bakery product,,,,,,,,
root vegetables,curd,,,,,,,,,
UHT-milk,cooking chocolate,,,,,,,,,
chicken,sugar,,,,,,,,,
whole milk,domestic eggs,bottled beer,bottled beer,,,,,,,
herbs,packaged fruit/vegetables,,,,,,,,,
chocolate,root vegetables,,,,,,,,,
brown bread,rolls/buns,sliced cheese,,,,,,,,
artif. sweetener,whole milk,,,,,,,,,
chicken,cat food,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
tropical fruit,candy,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
grapes,misc. beverages,,,,,,,,,
ketchup,rolls/buns,,,,,,,,,
processed cheese,other vegetables,,,,,,,,,
sausage,white bread,,,,,,,,,
ham,whole milk,whole milk,soda,,,,,,,
cream cheese ,fruit/vegetable juice,,,,,,,,,
specialty bar,sliced cheese,,,,,,,,,
pork,specialty bar,long life bakery product,,,,,,,,
frozen dessert,herbs,brown bread,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
cream cheese ,whole milk,,,,,,,,,
frozen meals,jam,,,,,,,,,
other vegetables,ice cream,,,,,,,,,
beef,other vegetables,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
pork,yogurt,,,,,,,,,
root vegetables,salty snack,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
whole milk,onions,,,,,,,,,
specialty bar,candy,,,,,,,,,
other vegetables,soap,,,,,,,,,
pastry,hygiene articles,,,,,,,,,
frankfurter,yogurt,cat food,,,,,,,,
UHT-milk,UHT-milk,,,,,,,,,
newspapers,whole milk,,,,,,,,,
UHT-milk,beverages,,,,,,,,,
bottled water,frankfurter,tropical fruit,liquor,specialty chocolate,,,,,,
frozen fish,tropical fruit,,,,,,,,,
sausage,curd,,,,,,,,,
cream cheese ,cleaner,,,,,,,,,
other vegetables,rolls/buns,soda,,,,,,,,
canned beer,bottled beer,,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
domestic eggs,chocolate,,,,,,,,,
pip fruit,chocolate,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
frozen vegetables,napkins,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
beverages,soda,,,,,,,,,
beverages,canned beer,,,,,,,,,
domestic eggs,soda,,,,,,,,,
butter milk,whole milk,,,,,,,,,
other vegetables,shopping bags,frozen vegetables,shopping bags,,,,,,,
pip fruit,bottled beer,,,,,,,,,
sliced cheese,rolls/buns,,,,,,,,,
other vegetables,whole milk,sliced cheese,,,,,,,,
whole milk,canned fish,,,,,,,,,
root vegetables,newspapers,dishes,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
other vegetables,yogurt,bottled water,,,,,,,,
frozen meals,rolls/buns,canned beer,coffee,soda,,,,,,
pickled vegetables,yogurt,,,,,,,,,
other vegetables,whole milk,yogurt,hard cheese,bottled beer,,,,,,
pip fruit,grapes,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
soda,whole milk,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
root vegetables,meat,,,,,,,,,
soda,pork,,,,,,,,,
condensed milk,pastry,,,,,,,,,
hard cheese,oil,,,,,,,,,
sausage,sliced cheese,,,,,,,,,
nuts/prunes,margarine,,,,,,,,,
specialty chocolate,margarine,,,,,,,,,
yogurt,liqueur,,,,,,,,,
tropical fruit,soda,,,,,,,,,
citrus fruit,dog food,rolls/buns,soda,whole milk,fruit/vegetable juice,whipped/sour cream,yogurt,,,
sausage,rolls/buns,,,,,,,,,
other vegetables,frozen fish,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
sausage,cream,,,,,,,,,
tropical fruit,soft cheese,shopping bags,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
other vegetables,whole milk,soda,,,,,,,,
napkins,mustard,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
frankfurter,baking powder,shopping bags,,,,,,,,
chicken,cream,,,,,,,,,
packaged fruit/vegetables,chewing gum,ham,condensed milk,soda,,,,,,
whole milk,rolls/buns,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
beverages,chocolate,,,,,,,,,
whole milk,onions,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
whole milk,newspapers,,,,,,,,,
frozen vegetables,canned beer,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
tropical fruit,butter milk,,,,,,,,,
hygiene articles,yogurt,,,,,,,,,
coffee,bottled water,roll products ,,,,,,,,
bottled beer,rolls/buns,other vegetables,,,,,,,,
other vegetables,frozen dessert,chewing gum,,,,,,,,
newspapers,coffee,,,,,,,,,
coffee,frozen potato products,,,,,,,,,
canned beer,yogurt,,,,,,,,,
shopping bags,dessert,processed cheese,,,,,,,,
meat,fish,meat spreads,abrasive cleaner,margarine,,,,,,
fish,tropical fruit,red/blush wine,cream cheese ,,,,,,,
berries,pip fruit,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
decalcifier,grapes,,,,,,,,,
soups,margarine,,,,,,,,,
canned beer,soda,,,,,,,,,
soda,meat,,,,,,,,,
other vegetables,frankfurter,rolls/buns,other vegetables,shopping bags,,,,,,
domestic eggs,shopping bags,,,,,,,,,
softener,salty snack,,,,,,,,,
tropical fruit,oil,,,,,,,,,
pork,UHT-milk,,,,,,,,,
frozen meals,cream cheese ,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
sausage,other vegetables,,,,,,,,,
tropical fruit,sausage,dog food,sweet spreads,,,,,,,
whole milk,baking powder,newspapers,,,,,,,,
whole milk,frankfurter,whole milk,curd,canned vegetables,,,,,,
margarine,long life bakery product,,,,,,,,,
bottled beer,pastry,cream cheese ,,,,,,,,
whole milk,pork,rolls/buns,,,,,,,,
tropical fruit,pastry,,,,,,,,,
pip fruit,chocolate,,,,,,,,,
onions,specialty cheese,canned fish,,,,,,,,
bottled water,margarine,,,,,,,,,
pastry,liquor,,,,,,,,,
whole milk,sugar,,,,,,,,,
turkey,shopping bags,whole milk,,,,,,,,
citrus fruit,pastry,,,,,,,,,
root vegetables,soda,,,,,,,,,
soft cheese,berries,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
other vegetables,candy,,,,,,,,,
chicken,domestic eggs,,,,,,,,,
light bulbs,whipped/sour cream,,,,,,,,,
frankfurter,pastry,,,,,,,,,
root vegetables,hard cheese,waffles,,,,,,,,
pot plants,liquor (appetizer),,,,,,,,,
soap,brown bread,,,,,,,,,
other vegetables,brown bread,flower (seeds),,,,,,,,
grapes,root vegetables,other vegetables,,,,,,,,
rolls/buns,bottled beer,white bread,,,,,,,,
hard cheese,rolls/buns,root vegetables,napkins,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
white bread,canned beer,,,,,,,,,
brown bread,detergent,,,,,,,,,
other vegetables,spread cheese,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
root vegetables,coffee,,,,,,,,,
soda,tropical fruit,specialty chocolate,root vegetables,,,,,,,
sausage,whole milk,semi-finished bread,yogurt,,,,,,,
beverages,dessert,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
cream cheese ,frozen vegetables,,,,,,,,,
butter,whipped/sour cream,,,,,,,,,
detergent,cocoa drinks,,,,,,,,,
yogurt,brown bread,,,,,,,,,
pastry,misc. beverages,,,,,,,,,
sausage,onions,,,,,,,,,
bottled beer,sausage,candy,yogurt,,,,,,,
other vegetables,pork,newspapers,,,,,,,,
sausage,yogurt,,,,,,,,,
spread cheese,butter,hygiene articles,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
margarine,yogurt,,,,,,,,,
soda,margarine,,,,,,,,,
softener,soda,,,,,,,,,
root vegetables,yogurt,bottled water,,,,,,,,
yogurt,rolls/buns,soda,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
canned beer,soda,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
beef,butter,brown bread,,,,,,,,
chocolate,soda,,,,,,,,,
citrus fruit,chewing gum,brown bread,,,,,,,,
bottled water,domestic eggs,pickled vegetables,margarine,,,,,,,
chocolate,beverages,,,,,,,,,
pip fruit,tropical fruit,,,,,,,,,
oil,chewing gum,,,,,,,,,
white wine,ice cream,,,,,,,,,
canned beer,sugar,,,,,,,,,
frankfurter,pork,rolls/buns,grapes,,,,,,,
fruit/vegetable juice,flower (seeds),,,,,,,,,
sugar,whole milk,pastry,salty snack,,,,,,,
other vegetables,jam,cat food,fruit/vegetable juice,,,,,,,
tropical fruit,white bread,,,,,,,,,
beef,ketchup,pork,hygiene articles,,,,,,,
pastry,meat,,,,,,,,,
pork,red/blush wine,,,,,,,,,
newspapers,domestic eggs,,,,,,,,,
margarine,whipped/sour cream,,,,,,,,,
frozen fish,baking powder,,,,,,,,,
berries,sauces,,,,,,,,,
whole milk,bottled water,honey,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
whole milk,rolls/buns,instant coffee,,,,,,,,
brown bread,rolls/buns,citrus fruit,frozen fish,chocolate,,,,,,
frankfurter,sausage,,,,,,,,,
female sanitary products,margarine,,,,,,,,,
rolls/buns,tidbits,margarine,,,,,,,,
UHT-milk,flower soil/fertilizer,salty snack,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
oil,UHT-milk,,,,,,,,,
pastry,bottled water,,,,,,,,,
cream cheese ,toilet cleaner,,,,,,,,,
sausage,meat,beverages,UHT-milk,frozen dessert,sugar,,,,,
butter,dessert,,,,,,,,,
UHT-milk,dishes,frozen dessert,,,,,,,,
bottled water,chewing gum,beef,brown bread,,,,,,,
canned beer,newspapers,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
yogurt,popcorn,,,,,,,,,
meat spreads,domestic eggs,sugar,,,,,,,,
dessert,yogurt,,,,,,,,,
tropical fruit,frozen potato products,vinegar,,,,,,,,
pip fruit,chewing gum,yogurt,,,,,,,,
chicken,frozen fish,sugar,,,,,,,,
tropical fruit,rolls/buns,fruit/vegetable juice,,,,,,,,
waffles,bottled water,,,,,,,,,
ham,Instant food products,,,,,,,,,
citrus fruit,onions,,,,,,,,,
hamburger meat,soda,,,,,,,,,
pastry,bottled water,dishes,whole milk,canned beer,,,,,,
whole milk,whole milk,,,,,,,,,
berries,root vegetables,,,,,,,,,
whole milk,beef,citrus fruit,newspapers,bottled water,,,,,,
berries,oil,cat food,,,,,,,,
specialty bar,soda,,,,,,,,,
soft cheese,rolls/buns,detergent,,,,,,,,
frankfurter,whole milk,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
root vegetables,cream cheese ,,,,,,,,,
pastry,grapes,,,,,,,,,
root vegetables,pastry,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
pastry,pip fruit,rolls/buns,yogurt,,,,,,,
whole milk,brown bread,,,,,,,,,
frankfurter,newspapers,,,,,,,,,
whole milk,newspapers,soda,whipped/sour cream,,,,,,,
dishes,yogurt,,,,,,,,,
citrus fruit,shopping bags,cream cheese ,,,,,,,,
whole milk,root vegetables,,,,,,,,,
cream cheese ,rice,,,,,,,,,
bottled beer,domestic eggs,,,,,,,,,
misc. beverages,shopping bags,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
yogurt,margarine,long life bakery product,coffee,,,,,,,
other vegetables,other vegetables,waffles,,,,,,,,
bottled beer,butter,,,,,,,,,
chocolate,oil,domestic eggs,fruit/vegetable juice,frozen vegetables,rolls/buns,,,,,
whipped/sour cream,pastry,napkins,,,,,,,,
other vegetables,liquor,,,,,,,,,
ham,tropical fruit,,,,,,,,,
chicken,domestic eggs,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
ham,frozen meals,,,,,,,,,
bottled beer,canned vegetables,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
citrus fruit,citrus fruit,oil,root vegetables,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
yogurt,whole milk,,,,,,,,,
root vegetables,white bread,pasta,bottled beer,,,,,,,
other vegetables,yogurt,,,,,,,,,
sparkling wine,female sanitary products,,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
UHT-milk,soda,salty snack,,,,,,,,
pip fruit,whole milk,rolls/buns,,,,,,,,
sausage,yogurt,tidbits,,,,,,,,
cat food,rolls/buns,,,,,,,,,
rolls/buns,rubbing alcohol,pastry,,,,,,,,
ham,ice cream,,,,,,,,,
newspapers,coffee,soft cheese,,,,,,,,
berries,pastry,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
detergent,tropical fruit,shopping bags,soft cheese,,,,,,,
fruit/vegetable juice,whole milk,frozen vegetables,rolls/buns,,,,,,,
whole milk,other vegetables,,,,,,,,,
whole milk,pickled vegetables,soda,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
butter milk,soda,,,,,,,,,
chicken,grapes,,,,,,,,,
citrus fruit,tropical fruit,root vegetables,soda,,,,,,,
bottled beer,herbs,curd,,,,,,,,
whole milk,sugar,,,,,,,,,
chicken,soda,dishes,,,,,,,,
dessert,yogurt,,,,,,,,,
soda,hygiene articles,,,,,,,,,
sausage,semi-finished bread,,,,,,,,,
margarine,domestic eggs,,,,,,,,,
shopping bags,white wine,soda,,,,,,,,
onions,liquor (appetizer),,,,,,,,,
margarine,bathroom cleaner,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
domestic eggs,sliced cheese,,,,,,,,,
chicken,butter,,,,,,,,,
chicken,curd,,,,,,,,,
sausage,whole milk,,,,,,,,,
frankfurter,coffee,,,,,,,,,
soda,root vegetables,fruit/vegetable juice,,,,,,,,
bottled water,brown bread,,,,,,,,,
canned fish,soda,,,,,,,,,
frankfurter,prosecco,,,,,,,,,
pastry,whipped/sour cream,domestic eggs,,,,,,,,
sausage,beef,,,,,,,,,
whipped/sour cream,other vegetables,shopping bags,,,,,,,,
dessert,spread cheese,,,,,,,,,
frankfurter,butter milk,,,,,,,,,
onions,tropical fruit,shopping bags,other vegetables,,,,,,,
pastry,whipped/sour cream,decalcifier,,,,,,,,
white bread,napkins,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
pork,berries,,,,,,,,,
onions,grapes,yogurt,tropical fruit,whole milk,salty snack,root vegetables,frozen dessert,whipped/sour cream,,
whole milk,root vegetables,,,,,,,,,
pip fruit,sugar,,,,,,,,,
rolls/buns,butter milk,,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
bottled water,long life bakery product,rolls/buns,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
misc. beverages,bottled water,,,,,,,,,
other vegetables,whole milk,soda,,,,,,,,
coffee,rolls/buns,soda,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
citrus fruit,pet care,,,,,,,,,
ham,frozen meals,,,,,,,,,
chocolate,brown bread,,,,,,,,,
potato products,pip fruit,,,,,,,,,
root vegetables,ice cream,,,,,,,,,
ham,pickled vegetables,newspapers,,,,,,,,
berries,curd,specialty cheese,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
soda,other vegetables,frozen vegetables,,,,,,,,
sausage,bottled beer,misc. beverages,,,,,,,,
mustard,rolls/buns,white bread,newspapers,,,,,,,
sausage,other vegetables,,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
photo/film,white bread,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
tropical fruit,cake bar,soda,cat food,,,,,,,
pork,oil,,,,,,,,,
finished products,whole milk,,,,,,,,,
other vegetables,yogurt,whipped/sour cream,napkins,,,,,,,
finished products,cream cheese ,,,,,,,,,
canned fish,coffee,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
margarine,margarine,,,,,,,,,
hamburger meat,rolls/buns,beverages,dessert,whole milk,domestic eggs,yogurt,soda,,,
whole milk,brown bread,,,,,,,,,
herbs,yogurt,newspapers,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
pork,hamburger meat,whole milk,whole milk,fruit/vegetable juice,,,,,,
chicken,pastry,whole milk,pip fruit,soda,margarine,candy,,,,
sausage,sausage,chicken,chewing gum,newspapers,bottled water,pastry,yogurt,,,
butter,rolls/buns,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
other vegetables,hard cheese,,,,,,,,,
ham,meat,,,,,,,,,
curd,sliced cheese,frozen fish,,,,,,,,
pip fruit,other vegetables,semi-finished bread,sliced cheese,,,,,,,
rolls/buns,nuts/prunes,pastry,fruit/vegetable juice,,,,,,,
margarine,misc. beverages,,,,,,,,,
cream cheese ,whole milk,root vegetables,frankfurter,other vegetables,whole milk,dish cleaner,mustard,hygiene articles,,
chicken,yogurt,hygiene articles,brown bread,,,,,,,
whole milk,whole milk,domestic eggs,,,,,,,,
canned beer,dishes,,,,,,,,,
whole milk,tropical fruit,liquor (appetizer),soda,,,,,,,
soda,semi-finished bread,,,,,,,,,
chicken,grapes,pot plants,curd cheese,coffee,napkins,,,,,
beef,napkins,,,,,,,,,
turkey,bottled water,,,,,,,,,
rolls/buns,onions,,,,,,,,,
tropical fruit,frozen dessert,napkins,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
butter milk,mayonnaise,,,,,,,,,
ham,other vegetables,,,,,,,,,
finished products,other vegetables,misc. beverages,coffee,rolls/buns,,,,,,
white bread,red/blush wine,,,,,,,,,
sausage,beef,whipped/sour cream,,,,,,,,
coffee,butter milk,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
citrus fruit,bottled water,white wine,rolls/buns,,,,,,,
UHT-milk,candles,,,,,,,,,
ham,bottled beer,,,,,,,,,
bottled water,pastry,specialty bar,herbs,,,,,,,
beef,whole milk,,,,,,,,,
pork,hard cheese,,,,,,,,,
ham,bottled water,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
whole milk,newspapers,,,,,,,,,
pork,processed cheese,,,,,,,,,
other vegetables,salty snack,,,,,,,,,
shopping bags,pickled vegetables,,,,,,,,,
hamburger meat,onions,,,,,,,,,
white bread,yogurt,,,,,,,,,
citrus fruit,ice cream,,,,,,,,,
packaged fruit/vegetables,frozen fish,,,,,,,,,
specialty chocolate,candles,,,,,,,,,
curd,misc. beverages,,,,,,,,,
other vegetables,bottled water,beverages,,,,,,,,
pip fruit,brandy,,,,,,,,,
soda,canned vegetables,,,,,,,,,
pip fruit,hamburger meat,brown bread,cream cheese ,curd,,,,,,
pork,newspapers,napkins,,,,,,,,
fruit/vegetable juice,chocolate,,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
curd,beef,napkins,,,,,,,,
frozen potato products,specialty cheese,,,,,,,,,
soda,soda,,,,,,,,,
chicken,yogurt,,,,,,,,,
hamburger meat,pip fruit,dish cleaner,,,,,,,,
citrus fruit,sugar,,,,,,,,,
sausage,canned beer,newspapers,tropical fruit,newspapers,,,,,,
pork,domestic eggs,,,,,,,,,
frankfurter,mustard,,,,,,,,,
frankfurter,frozen potato products,newspapers,softener,abrasive cleaner,,,,,,
canned beer,citrus fruit,rolls/buns,condensed milk,skin care,,,,,,
frankfurter,other vegetables,,,,,,,,,
canned beer,grapes,,,,,,,,,
frankfurter,margarine,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
long life bakery product,pip fruit,oil,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
soda,liquor (appetizer),,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
rolls/buns,cake bar,,,,,,,,,
pickled vegetables,soda,,,,,,,,,
rolls/buns,cat food,,,,,,,,,
brandy,soap,chewing gum,,,,,,,,
candles,coffee,,,,,,,,,
chicken,brown bread,,,,,,,,,
tropical fruit,beef,cream cheese ,frozen vegetables,,,,,,,
liquor (appetizer),liquor,,,,,,,,,
long life bakery product,salty snack,,,,,,,,,
root vegetables,pastry,,,,,,,,,
other vegetables,pork,,,,,,,,,
condensed milk,pork,whole milk,pastry,,,,,,,
root vegetables,whole milk,whole milk,newspapers,bottled water,,,,,,
shopping bags,napkins,,,,,,,,,
sausage,hamburger meat,,,,,,,,,
pork,soda,,,,,,,,,
newspapers,napkins,,,,,,,,,
chicken,root vegetables,,,,,,,,,
other vegetables,white bread,,,,,,,,,
spread cheese,yogurt,soda,shopping bags,,,,,,,
frozen meals,margarine,semi-finished bread,,,,,,,,
ice cream,shopping bags,,,,,,,,,
pork,sugar,,,,,,,,,
soda,frozen vegetables,cream cheese ,,,,,,,,
misc. beverages,artif. sweetener,newspapers,fruit/vegetable juice,,,,,,,
curd,UHT-milk,,,,,,,,,
ham,red/blush wine,,,,,,,,,
frankfurter,fruit/vegetable juice,shopping bags,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
chicken,pastry,,,,,,,,,
long life bakery product,waffles,canned vegetables,soft cheese,,,,,,,
oil,bottled water,oil,,,,,,,,
root vegetables,coffee,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
ham,canned beer,,,,,,,,,
margarine,bottled water,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
brown bread,sausage,yogurt,butter milk,canned beer,frozen vegetables,curd,cake bar,,,
whole milk,misc. beverages,,,,,,,,,
rolls/buns,other vegetables,soft cheese,,,,,,,,
soda,bottled water,,,,,,,,,
bottled beer,whole milk,cream cheese ,,,,,,,,
meat,chocolate,brown bread,,,,,,,,
rolls/buns,other vegetables,chewing gum,,,,,,,,
onions,curd,,,,,,,,,
spread cheese,specialty cheese,dish cleaner,,,,,,,,
frankfurter,yogurt,,,,,,,,,
UHT-milk,margarine,,,,,,,,,
finished products,butter milk,fruit/vegetable juice,brown bread,pot plants,,,,,,
other vegetables,yogurt,,,,,,,,,
pork,sugar,,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
semi-finished bread,soda,shopping bags,long life bakery product,,,,,,,
hygiene articles,other vegetables,,,,,,,,,
white wine,cream cheese ,,,,,,,,,
tropical fruit,white bread,butter,,,,,,,,
whole milk,coffee,,,,,,,,,
frozen dessert,tropical fruit,,,,,,,,,
cream cheese ,chocolate,,,,,,,,,
hard cheese,waffles,,,,,,,,,
red/blush wine,liquor (appetizer),sauces,coffee,,,,,,,
beverages,yogurt,,,,,,,,,
pork,canned beer,,,,,,,,,
pork,whole milk,,,,,,,,,
sausage,white wine,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
beef,beef,whole milk,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
citrus fruit,oil,whole milk,,,,,,,,
canned beer,other vegetables,margarine,,,,,,,,
frozen vegetables,dessert,,,,,,,,,
rolls/buns,flower (seeds),,,,,,,,,
bottled water,shopping bags,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
long life bakery product,hamburger meat,whole milk,,,,,,,,
whole milk,tropical fruit,cat food,,,,,,,,
pork,nuts/prunes,rolls/buns,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
frankfurter,butter,mustard,,,,,,,,
curd,butter,,,,,,,,,
citrus fruit,roll products ,,,,,,,,,
canned beer,pip fruit,,,,,,,,,
curd,UHT-milk,shopping bags,,,,,,,,
specialty chocolate,domestic eggs,,,,,,,,,
napkins,chewing gum,,,,,,,,,
tropical fruit,whole milk,long life bakery product,rum,,,,,,,
dessert,long life bakery product,berries,sausage,grapes,frozen meals,candy,soda,,,
pip fruit,dog food,soft cheese,packaged fruit/vegetables,pastry,domestic eggs,,,,,
tropical fruit,nuts/prunes,,,,,,,,,
other vegetables,other vegetables,rolls/buns,,,,,,,,
other vegetables,whole milk,root vegetables,domestic eggs,,,,,,,
newspapers,red/blush wine,,,,,,,,,
dessert,sugar,,,,,,,,,
soda,flour,,,,,,,,,
coffee,softener,,,,,,,,,
berries,domestic eggs,,,,,,,,,
other vegetables,canned fish,white bread,waffles,,,,,,,
other vegetables,bottled beer,,,,,,,,,
soda,whole milk,frozen fish,canned beer,ready soups,chocolate,,,,,
canned beer,other vegetables,,,,,,,,,
yogurt,shopping bags,waffles,chocolate,,,,,,,
grapes,yogurt,condensed milk,,,,,,,,
pip fruit,butter,bottled water,,,,,,,,
cat food,bottled beer,beef,brown bread,margarine,rolls/buns,,,,,
sausage,root vegetables,,,,,,,,,
fruit/vegetable juice,flower (seeds),,,,,,,,,
canned beer,turkey,pastry,bottled water,butter,,,,,,
coffee,long life bakery product,,,,,,,,,
soda,whole milk,oil,,,,,,,,
hygiene articles,brown bread,,,,,,,,,
meat,detergent,canned beer,,,,,,,,
frozen vegetables,fruit/vegetable juice,,,,,,,,,
tropical fruit,citrus fruit,soda,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
whole milk,frozen vegetables,bottled beer,specialty cheese,chewing gum,,,,,,
sausage,bottled beer,root vegetables,,,,,,,,
root vegetables,female sanitary products,,,,,,,,,
root vegetables,candles,,,,,,,,,
whole milk,curd,bottled beer,,,,,,,,
other vegetables,pip fruit,domestic eggs,,,,,,,,
flower (seeds),sliced cheese,soups,,,,,,,,
hamburger meat,sliced cheese,,,,,,,,,
oil,butter milk,cling film/bags,pastry,,,,,,,
newspapers,cat food,,,,,,,,,
bottled water,liquor,,,,,,,,,
ice cream,other vegetables,,,,,,,,,
processed cheese,white bread,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
domestic eggs,roll products ,,,,,,,,,
citrus fruit,whole milk,specialty cheese,,,,,,,,
whole milk,coffee,,,,,,,,,
whole milk,soft cheese,soda,brown bread,,,,,,,
other vegetables,butter,,,,,,,,,
nuts/prunes,cream cheese ,,,,,,,,,
coffee,beef,dishes,brown bread,pastry,,,,,,
